project_id,fiscal_year,member_name,state,district,recipient_name,project_description,amount_requested,award_id,award_amount,award_year,awarding_agency,match_score,match_status
earmark_000116,2022,Joyce Beatty,,,,YWCA Family Center,850000,,,,,,missing_recipient
earmark_000117,2022,Joyce Beatty,,,,Columbus Urban League Entrepreneur Center,450000,,,,,,missing_recipient
earmark_000118,2022,Ami Bera,,,,Elk Grove Police Department Communications Center Renovation,520000,,,,,,missing_recipient
earmark_000119,2022,Ami Bera,,,,Orange Vale Water Company Well #3,2175000,,,,,,missing_recipient
earmark_000120,2022,Ami Bera,,,,Regional Water Reliability Project,350000,,,,,,missing_recipient
earmark_000121,2022,Ami Bera,,,,Citrus Heights Groundwater Production Well,585000,,,,,,missing_recipient
earmark_000122,2022,Ami Bera,,,,Community Employment Program for Adults with Autism,450000,,,,,,missing_recipient
earmark_000123,2022,Ami Bera,,,,WEAVE Learn,276706,,,,,,missing_recipient
earmark_000124,2022,Ami Bera,,,,Center Point Fair Oaks Re-entry Workforce Development,356852,,,,,,missing_recipient
earmark_000125,2022,Ami Bera,,,,Rancho Cordova Youth Center,340000,,,,,,missing_recipient
earmark_000126,2022,Ami Bera,,,,Fair Oaks Community Clubhouse Facility Renovation,560929,,,,,,missing_recipient
earmark_000127,2022,Ami Bera,,,,Tillotson Parkway Extension,320000,,,,,,missing_recipient
earmark_000128,2022,Jack Bergman,,,,Rural Broadband Connectivity Expansion for the 1st District of Michigan,1200000,,,,,,missing_recipient
earmark_000129,2022,Jack Bergman,,,,Northern Lights YMCA M-Tec Renovation,1750000,,,,,,missing_recipient
earmark_000130,2022,Jack Bergman,,,,Tuscarora Township Septic to Sewer Expansion and Modernization Project Protecting Our Community & the Great Lakes,14800000,,,,,,missing_recipient
earmark_000131,2022,Jack Bergman,,,,Rebuilding HOPE,680000,,,,,,missing_recipient
earmark_000132,2022,Jack Bergman,,,,Inpatient Behavioral Health Program at McLaren Northern Michigan Cheboygan Campus,500000,,,,,,missing_recipient
earmark_000133,2022,Jack Bergman,,,,Lake Shore Drive Reconstruction Project,1440000,,,,,,missing_recipient
earmark_000134,2022,Jack Bergman,,,,Cedar River Park Project,2900000,,,,,,missing_recipient
earmark_000135,2022,Jack Bergman,,,,North Huron Avenue Rejuvenation Project/2021 Road Project,6990000,,,,,,missing_recipient
earmark_000136,2022,Jack Bergman,,,,Three Mile Trail Extension,900000,,,,,,missing_recipient
earmark_000137,2022,Donald Beyer,,,,Pilot Deployment of Body Worn Cameras in the Alexandria Police Department,600000,,,,,,missing_recipient
earmark_000138,2022,Donald Beyer,,,,Lincoln Avenue Stormwater Project,400000,,,,,,missing_recipient
earmark_000139,2022,Donald Beyer,,,,Behavioral Health Mobile Crisis Care,390000,,,,,,missing_recipient
earmark_000140,2022,Donald Beyer,,,,Regional Projects Data Warehouse,800000,,,,,,missing_recipient
earmark_000141,2022,Donald Beyer,,,,"Clifford Ave, Fulton St & Manning St Storm Sewer Improvements",420000,,,,,,missing_recipient
earmark_000142,2022,Donald Beyer,,,,Bluemont Junction Trail,325000,,,,,,missing_recipient
earmark_000143,2022,Donald Beyer,,,,City of Falls Church Electric school bus and associated electric vehicle (EV) charging infrastructure,396227,,,,,,missing_recipient
earmark_000144,2022,Donald Beyer,,,,"Pohick Road Sidewalk (I-95 to Richmond Highway) in Fairfax County, VA",1000000,,,,,,missing_recipient
earmark_000145,2022,Donald Beyer,,,,"George Washington Memorial Parkway - Traffic and Safety Context Sensitive Solutions, Belle Haven to City of Alexandria",300000,,,,,,missing_recipient
earmark_000146,2022,Donald Beyer,,,,Glencarlyn Park Pedestrian Bridge,800000,,,,,,missing_recipient
earmark_000147,2022,Stephanie Bice,,,,Oklahoma State University Oklahoma City Center for Social Innovation,845000,,,,,,missing_recipient
earmark_000148,2022,Stephanie Bice,,,,Native American Arthritis Research and Training Center,406860,,,,,,missing_recipient
earmark_000149,2022,Gus Bilirakis,,,,"Pinellas County, FL Consolidated Computer Aided Dispatch System",1750000,,,,,,missing_recipient
earmark_000150,2022,Gus Bilirakis,,,,Combatting Human Trafficking in the State of Florida,750000,,,,,,missing_recipient
earmark_000151,2022,Gus Bilirakis,,,,INTERCEPT UNIT of the Pinellas County Public Defender's Office,200000,,,,,,missing_recipient
earmark_000152,2022,Gus Bilirakis,,,,"City of Dade City, Florida Wastewater Treatment Facility Relocation and Impovements",1750000,,,,,,missing_recipient
earmark_000153,2022,Gus Bilirakis,,,,Pinellas County Tidal Check Valves,240000,,,,,,missing_recipient
earmark_000154,2022,Gus Bilirakis,,,,The Zephyrhills Northside Lift Station and Force Main Project,1500000,,,,,,missing_recipient
earmark_000155,2022,Gus Bilirakis,,,,Community Health Centers for Mental and Behavioral Health,2000000,,,,,,missing_recipient
earmark_000156,2022,Gus Bilirakis,,,,City of Oldsmar State Street DrainageProject,1600000,,,,,,missing_recipient
earmark_000157,2022,Gus Bilirakis,,,,Rural Northwest Pasco Community Park Site Acquisition,1000000,,,,,,missing_recipient
earmark_000158,2022,Gus Bilirakis,,,,AmSkills Workforce Training Innovation Center,950000,,,,,,missing_recipient
earmark_000159,2022,Sanford Bishop,,,,Fort Valley State University and Albany State University,995000,,,,,,missing_recipient
earmark_000160,2022,Sanford Bishop,,,,"City of Pelham, Georgia",225000,,,,,,missing_recipient
earmark_000161,2022,Sanford Bishop,,,,Georgia Family Connection Partnership,1500000,,,,,,missing_recipient
earmark_000162,2022,Sanford Bishop,,,,"The Rosalynn Carter Institute for Caregivers (RCI), Americus, GA",1100000,,,,,,missing_recipient
earmark_000163,2022,Sanford Bishop,,,,"Phoebe Putney Health System in Albany, Georgia",1000000,,,,,,missing_recipient
earmark_000164,2022,Sanford Bishop,,,,Driskell Park,3850000,,,,,,missing_recipient
earmark_000165,2022,Sanford Bishop,,,,Urban League of Greater Columbus,500000,,,,,,missing_recipient
earmark_000166,2022,Sanford Bishop,,,,Community Food Hub,2000000,,,,,,missing_recipient
earmark_000167,2022,Sanford Bishop,,,,Ritz Theater and Cultural Center,2200000,,,,,,missing_recipient
earmark_000168,2022,Sanford Bishop,,,,Water and Wastewater Infrastructure for New Industrial Park,1000000,,,,,,missing_recipient
earmark_000169,2022,Earl Blumenauer,,,,City of Portland Violence Prevention Outreach,200000,,,,,,missing_recipient
earmark_000170,2022,Earl Blumenauer,,,,The Lower Willamette Environmental Dredging and Ecosystem Restoration Project,732000,,,,,,missing_recipient
earmark_000171,2022,Earl Blumenauer,,,,Port of Portland Seismically Resilient Runway,1000000,,,,,,missing_recipient
earmark_000172,2022,Earl Blumenauer,,,,Friends of the Children Mental Health Surge Capacity Project,750000,,,,,,missing_recipient
earmark_000173,2022,Earl Blumenauer,,,,Portland Community College Artificial Intelligence Program & Curricula Development,793000,,,,,,missing_recipient
earmark_000174,2022,Earl Blumenauer,,,,Northwest Native American Center of Excellence (NNACoE) FLIGHT Project,800405,,,,,,missing_recipient
earmark_000175,2022,Earl Blumenauer,,,,Cascade AIDs Project: Expanding the Prism,847337,,,,,,missing_recipient
earmark_000176,2022,Earl Blumenauer,,,,"Willamette Shore Line Rail & Trestle Repair Project, Portland, Multnomah County, OR, OR03",2000000,,,,,,missing_recipient
earmark_000177,2022,Earl Blumenauer,,,,"Behavioral Health Resource Center Outdoor Plaza, Portland, Multnomah County, Oregon, OR03",1355000,,,,,,missing_recipient
earmark_000178,2022,Earl Blumenauer,,,,"Gradin Community Sports Park Phase II Development, Gresham, Multnomah County, Oregon, OR03",2000000,,,,,,missing_recipient
earmark_000179,2022,Lisa Blunt Rochester,,,,Project Honor,3500000,,,,,,missing_recipient
earmark_000180,2022,Lisa Blunt Rochester,,,,New Castle Agricultural Programming Building,1250000,,,,,,missing_recipient
earmark_000181,2022,Lisa Blunt Rochester,,,,Repairing of Historic School,100000,,,,,,missing_recipient
earmark_000182,2022,Lisa Blunt Rochester,,,,Statewide Body Worn Camera Project,1600000,,,,,,missing_recipient
earmark_000183,2022,Lisa Blunt Rochester,,,,Statewide Violence Reduction Project,1900000,,,,,,missing_recipient
earmark_000184,2022,Lisa Blunt Rochester,,,,Center for Urban Revitalization and Entrepreneurship,1000000,,,,,,missing_recipient
earmark_000185,2022,Lisa Blunt Rochester,,,,PFAS in Wastewater Infrastructure in Delaware,80000,,,,,,missing_recipient
